Data,Tweet
2018-07-20 15:24:42,apaixonado nesse cozinheiro #maisvoce
2018-07-20 15:23:47,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 15:22:09,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 15:18:52,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 15:18:48,@MaisVoce_Globo #RedeGlob #MaisVoce BEIJO NA BUNDA E ATÉ SEGUNDA 
2018-07-20 15:15:46,"Ok Brasil, meu sonho sempre foi apertar a barriguinha do Louro José #MaisVoce #Encontro #SP1 #RJ1 "
2018-07-20 15:15:41,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 15:15:40,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 15:13:43,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 15:13:30,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 15:07:25,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 15:05:56,"RT @kkaebsongyixing: Ana Maria Braga primeiro fez uma reportagem lá no Music Bank aqui no Brasil em 2014, meses atrás tocou Monster do EXO…"
2018-07-20 15:02:20,RT @ANAMARIABRAGA: Mensagem para começar a quinta-feira! #MaisVocê 
2018-07-20 14:59:20,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:58:56,Salvador bem representada! Já simpatizei com esse Tiago  #jogodepanelas #MaisVoce
2018-07-20 14:58:45,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:58:39,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:57:51,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:57:47,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:57:42,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:55:31,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:51:47,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:51:45,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:51:40,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:49:55,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:49:29,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:48:19,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:45:45,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:45:20,RT @MaisVoce_Globo: Quem curte K-pop??  #MaisVocê 
2018-07-20 14:42:55,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:42:02,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:41:57,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
